Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Road, Street, or Sidewalk",2400-2499,FANNIN,ST
Theft,"Road, Street, or Sidewalk",2500-2599,TRAVIS,ST
Theft,"Road, Street, or Sidewalk",2400-2499,LOUISIANA,ST
Theft,Apartment Parking Lot,3600-3699,CHENEVERT,-
AutoTheft,Grocery Store or Supermarket Parking Lot,4300-4399,SAN JACINTO,ST
Theft,"Road, Street, or Sidewalk",3300-3399,MILAM,-
Theft,"Road, Street, or Sidewalk",3800-3899,JACKSON,ST
Theft,Bar or Night Club,2300-2399,MAIN,ST
Theft,Apartment,3600-3699,CHENEVERT,-
Theft,Other Parking Lot,1000-1099,MCGOWEN,ST
Theft,Apartment Parking Lot,3600-3699,CHENEVERT,-
Theft,Commercial Parking Lot or Garage,3200-3299,LOUISIANA,ST
Theft,"Road, Street, or Sidewalk",900-999,ELGIN,ST
Theft,Bar or Night Club,1600-1699,ALABAMA,ST
Theft,Other Parking Lot,2100-2199,LOUISIANA,ST
Burglary,Restaurant or Cafeteria,2700-2799,MILAM,-
Burglary,Residence or House,2200-2299,CHENEVERT,ST
Theft,Apartment,2500-2599,MILAM,-
Theft,Residence or House,1500-1599,TRUXILLO,-
Theft,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,ST
Theft,Restaurant or Cafeteria Parking Lot,2900-2999,MILAM,-
Theft,"Road, Street, or Sidewalk",3000-3099,TRAVIS,ST
Theft,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-
Theft,"Road, Street, or Sidewalk",3600-3699,TRAVIS,ST
AutoTheft,Construction Site,2200-2299,LA BRANCH,-
Robbery,"Road, Street, or Sidewalk",1000-1099,ELGIN,ST
Theft,"Road, Street, or Sidewalk",3600-3699,TRAVIS,ST
Theft,Apartment,3200-3299,TRUXILLO,-
Theft,Commercial Parking Lot or Garage,3200-3299,ELGIN,ST
Aggravated Assault,Restaurant or Cafeteria,3300-3399,SCOTT,ST
Theft,"Road, Street, or Sidewalk",2200-2299,ISABELLA,-
Aggravated Assault,Residence or House,3200-3299,TRUXILLO,-
Theft,Garage or Carport,2500-2599,WEBSTER,ST
Burglary,Residence or House,3400-3499,HADLEY,ST
Theft,Residence or House,2800-2899,TUAM,-
Aggravated Assault,Residence or House,3000-3099,NAGLE,-
Burglary,Apartment,2300-2399,2301.5 ALABAMA ST,ST
Robbery,"Road, Street, or Sidewalk",3200-3299,SCOTT,ST
AutoTheft,"Road, Street, or Sidewalk",2400-2499,GRAY,ST
Robbery,"Road, Street, or Sidewalk",3000-3099,SAUER,-
Theft,"Road, Street, or Sidewalk",2200-2299,SAINT EMANUEL,ST
Aggravated Assault,Apartment,3300-3399,ALABAMA,ST
Burglary,Residence or House,3200-3299,ROSALIE,-
Aggravated Assault,"Road, Street, or Sidewalk",3000-3099,ELGIN,ST
Theft,Residence or House,2200-2299,BRILEY,ST
Theft,Driveway,3000-3099,BREMOND,ST
Aggravated Assault,Convenience Store Parking Lot,2700-2799,SCOTT,ST
Theft,University or College,4600-4699,CALHOUN,RD
Theft,Residence or House,3000-3099,BRAILSFORT,-
Burglary,Residence or House,3900-3999,DELANO,ST
Theft,Apartment,3500-3599,ELGIN,ST
Aggravated Assault,"Vacant Single Occ Resd(House,Townhs,Dplex)",3400-3499,MCILHENNY,ST
Aggravated Assault,Apartment Parking Lot,3200-3299,TRUXILLO,-
Theft,Driveway,2500-2599,WEBSTER,ST
Theft,"Vacant Other Residential (Apartment,Dorms)",3500-3599,SIMMONS,-
Theft,Residence or House,3400-3499,HADLEY,ST
Burglary,Residence or House,3500-3599,SAINT CHARLES,ST
Robbery,"Road, Street, or Sidewalk",3100-3199,ALABAMA,ST
AutoTheft,"Road, Street, or Sidewalk",2100-2199,GRAY,ST
Aggravated Assault,Apartment,2300-2399,TUAM,-
Burglary,Apartment,2400-2499,PIERCE,ST
Burglary,Residence or House,3300-3399,ANITA,ST
