Offense Type,Premise,BlockRange,StreetName,Type
Aggravated Assault,"Road, Street, or Sidewalk",4400-4499,TRAVIS ST,ST
Rape,"Hotel, Motel, Inn, Etc.",2500-2599,HAMILTON ST,ST
Theft,"Road, Street, or Sidewalk",2900-2999,CHENEVERT ST,ST
Theft,Restaurant or Cafeteria Parking Lot,2900-2999,MILAM,-
Theft,"Road, Street, or Sidewalk",2800-2899,KIPLING,ST
Theft,"Other, Unknown, or Not Listed",1800-1899,ANITA STREET,-
AutoTheft,Other Parking Lot,UNK,WHEELER ST /MAIN ST,ST
Theft,Convenience Store Parking Lot,1000-1099,ELGIN ST,ST
Theft,"Road, Street, or Sidewalk",3200-3299,TRUXILLO,-
Theft,Residence or House,3800-3899,CANFIELD,-
Theft,Residence or House,3800-3899,CANFIELD,ST
Theft,Bus Stop,3700-3799,SAMPSON,-
Theft,"Other, Unknown, or Not Listed",3700-3799,SAMPSON,-
Theft,"Parks and Recreation, Zoo, Swimming Pool",3700-3799,SAMPSON,-
Theft,Miscellaneous Business (Non-Specific),2600-2699,HOLMAN,-
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",3600-3699,DREW ST,ST
Theft,"Other, Unknown, or Not Listed",3700-3799,SAMPSON,-
Robbery,"Road, Street, or Sidewalk",3200-3299,DOWLING ST,ST
Aggravated Assault,Residence or House,3400-3499,ROSALIE,-
Aggravated Assault,Residence or House,3100-3199,HADLEY ST,ST
Theft,Bus Stop,3400-3499,MCGOWEN ST,ST
Burglary,Residence or House,3700-3799,DREW,ST
Aggravated Assault,Residence or House,10900-10999,GULF FRWY APT 278,-
Theft,Residence or House,2400-2499,BASTROP ST,ST
Aggravated Assault,Residence or House,2600-2699,WEBSTER ST,ST
Theft,Restaurant or Cafeteria Parking Lot,3000-3099,SCOTT ST,ST
Murder,"Road, Street, or Sidewalk",2900-2999,ISABELLA,-
Burglary,Residence or House,1300-1399,SHERWOOD POINT,LN
Theft,Driveway,2500-2599,TIERWESTER,-
Theft,Apartment,3300-3399,CHANDLER HOLLOW,LN
Theft,Bar or Night Club Parking Lot,2300-2399,PIERCE,ST
Aggravated Assault,Highway or Freeway,UNK,HOMELESS,-
AutoTheft,Driveway,2400-2499,BRILEY ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,REEVES,-
Robbery,"Road, Street, or Sidewalk",3700-3799,LIVE OAK,-
Aggravated Assault,"Road, Street, or Sidewalk",3100-3199,ALABAMA,ST
Theft,Convenience Store,3100-3199,ANITA ST APT,-
Murder,"Other, Unknown, or Not Listed",3000-3099,TIERWESTER,-
Theft,"Road, Street, or Sidewalk",2100-2199,LIVE OAK,ST
Aggravated Assault,"Road, Street, or Sidewalk",3800-3899,PRUDENCE,DR
Aggravated Assault,Service or Gas Station,2700-2799,FRANCIS,ST
Burglary,Residence or House,2300-2399,P O BOX 541081,-
AutoTheft,Service or Gas Station,3700-3799,SCOTT ST,ST
AutoTheft,"Road, Street, or Sidewalk",3300-3399,DREW ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",2800-2899,SOUTH FWY,-
Aggravated Assault,Grocery Store or Supermarket Parking Lot,3300-3399,2 ANITA,ST
Theft,University or College,4800-4899,CALHOUN RD,RD
Burglary,Garage or Carport,2100-2199,TRUXILLO,-
Theft,Other Parking Lot,3500-3599,SCOTT ST,ST
Theft,"Road, Street, or Sidewalk",13500-13599,ALCHESTER,-
Murder,"Road, Street, or Sidewalk",3100-3199,SCOTT,ST
Aggravated Assault,"Road, Street, or Sidewalk",3200-3299,TRUXILLO,-
Aggravated Assault,"Road, Street, or Sidewalk",12500-12599,SARATOGA WOODS,-
Theft,Restaurant or Cafeteria,4700-4799,CALHOUN,RD
AutoTheft,"Road, Street, or Sidewalk",2400-2499,GRAY ST,ST
Aggravated Assault,Apartment Parking Lot,6000-6099,BELDART,ST
Theft,Apartment,1700-1799,GRAY,ST
Robbery,Apartment,3600-3699,LIVE OAK,-
Theft,"Church, Synagogue, or Temple",1700-1799,GRAY,ST
Burglary,Residence or House,3200-3299,REEVES,-
Aggravated Assault,"Road, Street, or Sidewalk",3100-3199,MCGOWEN ST,ST
Burglary,Residence or House,3100-3199,WEBSTER,ST
Robbery,"Parks and Recreation, Zoo, Swimming Pool",2900-2999,SAUER,-
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",1400-1499,TARA COURT,-
Theft,University or College,4100-4199,ELGIN ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",6300-6399,REED,RD
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",12300-12399,MAXIM,DR
Aggravated Assault,Convenience Store,2100-2199,ALABAMA,ST
Aggravated Assault,"Road, Street, or Sidewalk",800-899,DUMBLE STREET APT 2,-
Burglary,Residence or House,3400-3499,BREMOND ST,ST
AutoTheft,Apartment Parking Lot,3100-3199,GRAY ST,ST
Robbery,Restaurant or Cafeteria Parking Lot,10600-10699,GESSNER,-
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,ANITA,ST
Robbery,"Field, Woods, Forest, Park",7400-7499,CANARY CIRCLE,-
Theft,Apartment Parking Lot,3200-3299,TRUXILLO,-
Theft,Apartment,1700-1799,FIFTH STREET,-
Aggravated Assault,Residence or House,4800-4899,CALVACADE,ST
Robbery,"Road, Street, or Sidewalk",3400-3499,ELGIN ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3500-3599,ELGIN,ST
Burglary,Residence or House,2600-2699,CLEBURNE ST,ST
Theft,"Road, Street, or Sidewalk",3200-3299,TAMPA,ST
Theft,Residence or House,3100-3199,ROSEDALE,-
AutoTheft,"Road, Street, or Sidewalk",2400-2499,WENTWORTH ST,ST
Robbery,Liquor Store,3300-3399,DIXIE,DR
Burglary,Residence or House,3600-3699,WENTWORTH,ST
Aggravated Assault,Convenience Store,4700-4799,SCOTT ST,ST
Burglary,Apartment,4400-4499,N MACGREGOR WAY,-
Burglary,Residence or House,3800-3899,WICHITA ST,ST
Burglary,Residence or House,2800-2899,WICHITA,ST
Theft,Residence or House,2800-2899,BLODGETT ST,ST
Aggravated Assault,"Hotel, Motel, Inn, Etc.",3800-3899,CANFIELD ST,ST
Robbery,"Road, Street, or Sidewalk",3700-3799,BURKETT,ST
Theft,"Vacant Other Residential (Apartment,Dorms)",4400-4499,MACGREGOR,WAY
Burglary,Residence or House,UNK,LAVIDA,CT
Theft,Apartment,4400-4499,S MACGREGOR WAY,-
Aggravated Assault,"Road, Street, or Sidewalk",2400-2499,SOUTHMORE,BLVD
Robbery,"Hotel, Motel, Inn, Etc.",5000-5099,MALLOW,-
Robbery,Restaurant or Cafeteria,2600-2699,SOUTHMORE,BLVD
Burglary,"Physician, Doctor, Dentist's Office",3000-3099,BLODGETT,ST
AutoTheft,Bar or Night Club Parking Lot,1400-1499,CARIBE,LN
Theft,Commercial Parking Lot or Garage,3100-3199,BLODGETT ST,ST
Aggravated Assault,Apartment,2500-2599,WICHITA ST,ST
Aggravated Assault,Residence or House,3800-3899,WENTWORTH ST,ST
Theft,Bar or Night Club,3300-3399,RALEIGH,-
Burglary,Residence or House,6200-6299,TIERWESTER,-
Burglary,Residence or House,3600-3699,ROSEDALE,-
Theft,Apartment Parking Lot,5500-5599,SAMPSON,-
Aggravated Assault,"Road, Street, or Sidewalk",10900-10999,TANNER PARK,CT
Aggravated Assault,Apartment,12600-12699,COHO,LN
Robbery,"Road, Street, or Sidewalk",3700-3799,EAGLE ST,ST
Rape,Middle School,5000-5099,SCOTT,ST
Theft,"Road, Street, or Sidewalk",4400-4499,EMANCIPATION AVE,-
Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,4100-4199,RAIN WILLOW,CT
Theft,Apartment Parking Lot,4400-4499,S MACGREGOR WAY,-
Theft,"Road, Street, or Sidewalk",2600-2699,ROSEDALE,-
Burglary,Residence or House,3700-3799,WHEELER,ST
AutoTheft,Apartment Parking Lot,3700-3799,SOUTHMORE BLVD,BLVD
Theft,"Road, Street, or Sidewalk",10200-10299,BUFFALO SPEEDWAY APT 62,-
Theft,Residence or House,2400-2499,OAKDALE,-
AutoTheft,"Road, Street, or Sidewalk",2600-2699,WOODCREEK MEADOWS,-
AutoTheft,"Road, Street, or Sidewalk",2300-2399,ROSEWOOD,-
Aggravated Assault,Bar or Night Club Parking Lot,3300-3399,DIXIE DR,-
Theft,Apartment,4000-4099,GRIGGS RD,RD
Theft,"Other, Unknown, or Not Listed",2600-2699,RUTH,-
Theft,Residence or House,2600-2699,RUTH,-
Burglary,Residence or House,2700-2799,EAGLE ST,ST
Robbery,Construction Site,5200-5299,HONEY CIRCLE,-
Theft,Residence or House,1700-1799,WARWICK,RD
Robbery,"Road, Street, or Sidewalk",500-599,GREGG,ST
Aggravated Assault,Apartment,4600-4699,JETTY,LN
Aggravated Assault,"Road, Street, or Sidewalk",7400-7499,CALHOUN,RD
Burglary,Apartment,5900-5999,WOODWAY,DR
Theft,University or College,5000-5099,CALHOUN RD,RD
AutoTheft,"Road, Street, or Sidewalk",2800-2899,PO BOX 88314,-
Theft,"Road, Street, or Sidewalk",3900-3999,CULLEN BLVD,BLVD
Theft,Residence or House,5400-5499,OAKCREST,ST
Rape,Alley,7800-7899,KELLWOOD,DR
Theft,Convenience Store Parking Lot,4300-4399,VARSITY LN,-
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",2800-2899,ARBOR ST,ST
Theft,Driveway,UNK,RUMPLECREEK,PL
Robbery,Apartment Parking Lot,3600-3699,SOUTHMORE BLVD,BLVD
Theft,"Road, Street, or Sidewalk",3300-3399,NATCHEZ,-
Burglary,Restaurant or Cafeteria,4300-4399,FERNWOOD,CT
Theft,Apartment,3800-3899,CANFIELD ST,ST
Burglary,Residence or House,3900-3999,W ENGLAND CT,-
Burglary,Bar or Night Club,4700-4799,ENNIS,ST
AutoTheft,Construction Site,800-899,RICHCREST,ST
Theft,"Other, Unknown, or Not Listed",3600-3699,BLODGETT ST,ST
Burglary,Residence or House,2800-2899,RUTH STREET,-
Theft,Other Parking Lot,5200-5299,CALHOUN RD,RD
Theft,Other Parking Lot,11900-11999,OAKMOOR PARKWAY 1025,-
