Offense Type,Beat,Premise,BlockRange,StreetName,Type
Rape,10H50,Residence or House,3400-3499,NAGLE,-
Theft,10H50,Apartment,2500-2599,WEBSTER,ST
Robbery,10H50,"Road, Street, or Sidewalk",2900-2999,NAPOLEON,-
Auto Theft,10H50,"Road, Street, or Sidewalk",2200-2299,SAINT CHARLES,-
Robbery,10H50,Residence or House,3800-3899,TUAM,-
Theft,10H50,Bar or Night Club Parking Lot,1800-1899,ST CHARLES,-
Theft,10H50,"Road, Street, or Sidewalk",3100-3199,WEBSTER,ST
Robbery,10H50,"Road, Street, or Sidewalk",3000-3099,SCOTT,ST
Aggravated Assault,10H50,Hotel or Motel Parking Lot,2500-2599,SAMPSON,-
Aggravated Assault,10H50,Residence or House,3400-3499,TUAM,-
Robbery,10H50,"Road, Street, or Sidewalk",3700-3799,SAINT CHARLES,-
Burglary,10H50,Residence or House,2300-2399,BURKETT,ST
Aggravated Assault,10H50,"Road, Street, or Sidewalk",3300-3399,TIERWESTER,-
Theft,10H50,Bar or Night Club,2300-2399,PIERCE,ST
Theft,10H50,Residence or House,2200-2299,ALABAMA,ST
Aggravated Assault,10H50,"Road, Street, or Sidewalk",2800-2899,ELGIN,ST
Robbery,10H50,"Road, Street, or Sidewalk",3000-3099,DOWLING,ST
Theft,10H50,Residence or House,3000-3099,BREMOND,ST
Robbery,10H50,"Road, Street, or Sidewalk",3000-3099,SCOTT,ST
Theft,10H50,Apartment,2100-2199,BERRY,ST
Theft,10H50,"Road, Street, or Sidewalk",3500-3599,TIERWESTER,-
Theft,10H50,"Other, Unknown, or Not Listed",3200-3299,BEULAH,ST
Theft,10H50,Residence or House,3200-3299,TUAM,-
Theft,10H50,Other Parking Lot,2400-2499,ALABAMA,ST
Auto Theft,10H50,"Road, Street, or Sidewalk",3300-3399,HOLMAN,-
Aggravated Assault,10H50,Residence or House,2100-2199,HUTCHINS,-
Burglary,10H50,Residence or House,2500-2599,WEBSTER ST 306,-
Robbery,10H50,Apartment Laundry,3200-3299,TRUXILLO,-
Aggravated Assault,10H50,"Road, Street, or Sidewalk",3000-3099,TUAM,-
Theft,10H50,Residence or House,2700-2799,SCOTT,ST
Aggravated Assault,10H50,Apartment,2800-2899,DELANO,-
Burglary,10H50,Apartment,3300-3399,ALABAMA,ST
Burglary,10H50,"Gym, Recreat, Club House, Indoor Pool, Spa",3200-3299,DOWLING,ST
Aggravated Assault,10H50,Residence or House,2800-2899,FRANCIS,ST
Theft,10H50,University or College,4000-4099,WHEELER,ST
Theft,10H50,Apartment Parking Lot,2100-2199,TUAM,-
Aggravated Assault,10H50,"Road, Street, or Sidewalk",2200-2299,SAINT CHARLES,-
Aggravated Assault,10H50,Residence or House,3900-3999,TUAM,-
Burglary,10H50,Residence or House,2700-2799,DELANO,-
Burglary,10H50,Residence or House,2700-2799,DELANO,-
Theft,10H50,Strip Business Center Parking Lot,2000-2099,GRAY,ST
Aggravated Assault,10H50,Residence or House,3600-3699,ANITA,ST
Theft,10H50,Strip Business Center Parking Lot,2000-2099,GRAY,ST
Theft,10H50,Convenience Store,3000-3099,SCOTT,ST
Aggravated Assault,10H50,Residence or House,3100-3199,LIVE OAK,-
Burglary,10H50,Apartment,3400-3499,ROSALIE,-
Burglary,10H50,Residence or House,3100-3199,CALLIE,ST
Theft,10H50,"Road, Street, or Sidewalk",2100-2199,MCILHENNY,ST
Theft,10H50,"Other, Unknown, or Not Listed",2300-2399,PIERCE,ST
Robbery,10H50,Apartment Parking Lot,2500-2599,WEBSTER,ST
Aggravated Assault,10H50,Residence or House,3700-3799,BURKETT,ST
Rape,10H50,"Field, Woods, Forest, Park",3400-3499,ELGIN,ST
Theft,10H50,"Road, Street, or Sidewalk",3800-3899,ELGIN,ST
Murder,10H50,Residence or House,3100-3199,BURKETT,ST
Theft,10H50,Apartment Parking Lot,3700-3799,SCOTT,ST
Theft,10H60,"Church, Synagogue, or Temple Parking Lot",3000-3099,ROSEDALE,-
Aggravated Assault,10H60,Department or Discount Store,5900-5999,SCOTT,ST
Burglary,10H60,Convenience Store,3800-3899,OLD SPANISH,TRL
Theft,10H60,Restaurant or Cafeteria Parking Lot,5900-5999,SCOTT,ST
Auto Theft,10H60,Vacant School or College/University,3500-3599,WHEELER,ST
Aggravated Assault,10H60,Apartment Parking Lot,5100-5199,DOWLING,ST
Theft,10H60,Liquor Store Parking Lot,3100-3199,SOUTHMORE,BLVD
Theft,10H60,Construction Site,4500-4599,ROSENEATH,DR
Theft,10H60,"Other, Unknown, or Not Listed",5100-5199,SAUER,-
Robbery,10H60,"Road, Street, or Sidewalk",2200-2299,WHEELER,ST
Robbery,10H60,"Road, Street, or Sidewalk",3500-3599,CLEBURNE,ST
Aggravated Assault,10H60,,3400-3499,TAMPA,-
Theft,10H60,Apartment Parking Lot,3700-3799,SOUTHMORE,BLVD
Theft,10H60,Convenience Store Parking Lot,3900-3999,OLD SPANISH,TRL
Theft,10H60,Service or Gas Station,4300-4399,OLD SPANISH,TRL
Theft,10H60,Convenience Store,4700-4799,SCOTT,ST
Aggravated Assault,10H60,Apartment,5500-5599,SAMPSON,-
Theft,10H60,"Road, Street, or Sidewalk",2400-2499,BLODGETT,ST
Theft,10H60,"Road, Street, or Sidewalk",6400-6499,DEL RIO,ST
