Offense Type,Premise,BlockRange,StreetName,Type
Burglary,Garage or Carport,2000-2099,TUAM,-
Aggravated Assault,"Road, Street, or Sidewalk",3000-3099,MCILHENNY,ST
Burglary,"Road, Street, or Sidewalk",2200-2299,BASTROP,ST
Theft,"Road, Street, or Sidewalk",3800-3899,HOLMAN,-
Theft,Convenience Store Parking Lot,2700-2799,ALABAMA,ST
Aggravated Assault,"Road, Street, or Sidewalk",2300-2399,LUCINDA,-
Burglary,Residence or House,2700-2799,SAINT EMANUEL,ST
Burglary,"Multi-Plex Home (Duplex,Triplex Etc.)",2700-2799,TRUXILLO,-
Rape,Residence or House,3500-3599,HADLEY,ST
Theft,"Other, Unknown, or Not Listed",3700-3799,MACGREGOR,WAY
Theft,"Road, Street, or Sidewalk",2600-2699,CALUMET,ST
Theft,"Road, Street, or Sidewalk",2500-2599,CALUMET,ST
Aggravated Assault,Residence or House,4000-4099,CHARLESTON,-
Burglary,Apartment,5500-5599,SAMPSON,-
Theft,"Road, Street, or Sidewalk",2400-2499,CALUMET,ST
Robbery,Bus Stop,4300-4399,ENNIS,ST
Theft,Driveway,3400-3499,ARBOR,ST
Theft,"Church, Synagogue, or Temple",3800-3899,WHEELER,ST
Auto Theft,"Road, Street, or Sidewalk",2900-2999,ROSEWOOD,-
Theft,Apartment Parking Lot,3400-3499,BINZ,ST
Theft,Apartment Parking Lot,4400-4499,MACGREGOR,WAY
Auto Theft,"Road, Street, or Sidewalk",3500-3599,DIXIE,DR
Theft,"Road, Street, or Sidewalk",6200-6299,BOWLING GREEN,ST
Theft,Apartment Parking Lot,4400-4499,MACGREGOR,WAY
Aggravated Assault,Apartment Parking Lot,3700-3799,SOUTHMORE,BLVD
Robbery,Restaurant or Cafeteria,3600-3699,OLD SPANISH,TRL
Auto Theft,"Road, Street, or Sidewalk",3200-3299,ROSEDALE,-
Robbery,Drug Store or Medical Supply,3800-3899,OLD SPANISH,TRL
Theft,Driveway,4300-4399,FIESTA,LN
Aggravated Assault,Residence or House,2500-2599,WICHITA,ST
Theft,"Road, Street, or Sidewalk",2500-2599,OAKDALE,-
Robbery,"Road, Street, or Sidewalk",2400-2499,ROSEWOOD,-
Theft,Apartment Parking Lot,4400-4499,MACGREGOR,WAY
Aggravated Assault,Miscellaneous Business (Non-Specific),3300-3399,SOUTHMORE,BLVD
Robbery,"Road, Street, or Sidewalk",4700-4799,SCOTT,ST
Theft,Commercial Parking Lot or Garage,4400-4499,MACGREGOR,WAY
Theft,Apartment Parking Lot,4400-4499,MACGREGOR,WAY
Theft,"Parks and Recreation, Zoo, Swimming Pool",5200-5299,CALHOUN,RD
Theft,"Road, Street, or Sidewalk",5200-5299,CALHOUN,RD
Theft,Other Parking Lot,5200-5299,CALHOUN,RD
Auto Theft,Bar or Night Club,2500-2599,SOUTHMORE,BLVD
Theft,Apartment Parking Lot,3500-3599,DIXIE,DR
Robbery,"Road, Street, or Sidewalk",3600-3699,BLODGETT,ST
Theft,Apartment Parking Lot,2400-2499,SOUTHMORE,BLVD
Auto Theft,"Road, Street, or Sidewalk",3300-3399,TAMPA,-
Robbery,Barber And Beauty Shops,5900-5999,SCOTT,ST
Robbery,Apartment,4400-4499,MACGREGOR,WAY
Theft,Convenience Store,2300-2399,SOUTHMORE,BLVD
Burglary,Other Parking Lot,5800-5899,SAINT AUGUSTINE,-
Aggravated Assault,Residence or House,2300-2399,ROSEWOOD,-
Auto Theft,"Road, Street, or Sidewalk",3400-3499,WENTWORTH,ST
Theft,"Road, Street, or Sidewalk",4200-4299,ROSENEATH,DR
Theft,Bar or Night Club,2400-2499,WENTWORTH,ST
Theft,"Road, Street, or Sidewalk",3600-3699,WENTWORTH,ST
Robbery,"Road, Street, or Sidewalk",2800-2899,BLODGETT,ST
Theft,"Road, Street, or Sidewalk",6500-6599,PEERLESS,-
Theft,"Road, Street, or Sidewalk",2500-2599,ARBOR,ST
Theft,Garage or Carport,4400-4499,MACGREGOR,WAY
Burglary,Residence or House,2800-2899,BARBEE,ST
Theft,Garage or Carport,4400-4499,MACGREGOR,WAY
Auto Theft,"Other, Unknown, or Not Listed",2600-2699,SOUTHMORE,BLVD
Burglary,Restaurant or Cafeteria,4500-4599,OLD SPANISH,TRL
Aggravated Assault,Bar or Night Club Parking Lot,6500-6599,PEERLESS,-
Aggravated Assault,Laundry or Dry Cleaners Parking Lot,5900-5999,SCOTT,ST
Theft,Commercial Parking Lot or Garage,4400-4499,MACGREGOR,WAY
Theft,"Road, Street, or Sidewalk",4600-4699,DOWLING,ST
Theft,Garage or Carport,4400-4499,MACGREGOR,WAY
Theft,"Road, Street, or Sidewalk",2500-2599,BLODGETT,ST
Theft,Grocery Store or Supermarket Parking Lot,5900-5999,SCOTT,ST
Theft,Grocery Store or Supermarket Parking Lot,5900-5999,SCOTT,ST
Theft,"Road, Street, or Sidewalk",2700-2799,SOUTHMORE,BLVD
Theft,Commercial Parking Lot or Garage,4400-4499,MACGREGOR,WAY
Aggravated Assault,,2800-2899,SOUTHMORE,BLVD
Theft,"Other, Unknown, or Not Listed",2300-2399,WHEELER,ST
Theft,"Road, Street, or Sidewalk",3500-3599,OZARK,-
Theft,Apartment Parking Lot,4400-4499,MACGREGOR,WAY
Aggravated Assault,"Road, Street, or Sidewalk",6200-6299,TIERWESTER,-
Robbery,Strip Business Center Parking Lot,3900-3999,SCOTT,ST
Theft,Warehouse,3300-3399,DIXIE,DR
Theft,Commercial Parking Lot or Garage,4700-4799,SCOTT,ST
Theft,Apartment Parking Lot,6500-6599,DEL RIO,ST
Theft,"Road, Street, or Sidewalk",2600-2699,BLODGETT,ST
Robbery,Warehouse,3600-3699,BLODGETT,ST
Theft,"Road, Street, or Sidewalk",6400-6499,DEL RIO,ST
Auto Theft,"Road, Street, or Sidewalk",4800-4899,DOWLING,ST
Theft,"Road, Street, or Sidewalk",2500-2599,BLODGETT,ST
Theft,,4100-4199,MACGREGOR,WAY
Aggravated Assault,"Hotel, Motel, Inn, Etc.",4300-4399,OLD SPANISH,TRL
Theft,"Road, Street, or Sidewalk",3300-3399,DIXIE,DR
Theft,"Road, Street, or Sidewalk",3300-3399,KELTON,-
Theft,"Other, Unknown, or Not Listed",3200-3299,MACGREGOR,WAY
Theft,"Road, Street, or Sidewalk",2400-2499,ARBOR,ST
Theft,"Road, Street, or Sidewalk",2300-2399,SOUTHMORE,BLVD
Theft,Bar or Night Club,6500-6599,PEERLESS,-
Burglary,Residence or House,3800-3899,GERTIN,-
Theft,Other Parking Lot,6400-6499,DEL RIO,ST
Theft,"Road, Street, or Sidewalk",6400-6499,DEL RIO,ST
Theft,"Road, Street, or Sidewalk",6500-6599,PEERLESS,-
Theft,"Road, Street, or Sidewalk",3300-3399,DIXIE,DR
Theft,"Road, Street, or Sidewalk",6300-6399,PEERLESS,-
Theft,Other Parking Lot,6500-6599,PEERLESS,-
Auto Theft,Residence or House,3300-3399,WICHITA,ST
Theft,Convenience Store Parking Lot,3300-3399,DIXIE,DR
Theft,Residence or House,2900-2999,CLEBURNE,ST
Burglary,Restaurant or Cafeteria Parking Lot,3600-3699,OLD SPANISH,TRL
Theft,Convenience Store,2600-2699,WHEELER,ST
Aggravated Assault,Middle School,3100-3199,SOUTHMORE,BLVD
