Offense Type,Premise,BlockRange,StreetName,Type
Theft,Apartment Parking Lot,19100-19199,CANNON HILLS,LN
Theft,Apartment,2400-2499,MILAM,ST
Theft,Bar or Night Club Parking Lot,4500-4599,ALMEDA,RD
Aggravated Assault,Bar or Night Club Parking Lot,900-999,GREENS RD APT,-
Robbery,"Road, Street, or Sidewalk",2400-2499,GREEN TEE,DR
Aggravated Assault,"Road, Street, or Sidewalk",2100-2199,SAN JACINTO,ST
Theft,Residence or House,3600-3699,CHENEVERT ST,ST
Robbery,Restaurant or Cafeteria,2100-2199,MAIN ST,ST
Burglary,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
Burglary,Apartment,4500-4599,TRAVIS,ST
Theft,"Multi-Plex Home (Duplex,Triplex Etc.)",1600-1699,MCGOWEN ST,ST
Theft,Strip Business Center Parking Lot,2800-2899,CAROLINE ST,ST
Theft,Strip Business Center Parking Lot,3000-3099,TRAVIS ST,ST
Theft,"Road, Street, or Sidewalk",4200-4299,P O BOX 6766,-
Aggravated Assault,Government or Public Building,2600-2699,CAROLINE ST,ST
Theft,Bus Station,2100-2199,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",700-799,TUAM,-
Theft,"Road, Street, or Sidewalk",3000-3099,CRAWFORD ST,ST
Theft,Bar or Night Club Parking Lot,1000-1099,MCGOWEN ST,ST
Theft,Commercial Parking Lot or Garage,3200-3299,LOUISIANA ST,ST
Theft,Residence or House,5700-5799,KNIGHTWOOD,-
Theft,Office Building,3700-3799,MT PLEASANT,-
Theft,Commercial Parking Lot or Garage,3200-3299,LOUISIANA ST,ST
Theft,"Road, Street, or Sidewalk",700-799,MCGOWEN ST,ST
Theft,"Road, Street, or Sidewalk",700-799,STUART,-
Aggravated Assault,"Road, Street, or Sidewalk",1100-1199,LAWRENCE,ST
Theft,Bar or Night Club,2300-2399,MAIN ST,ST
Theft,Commercial Parking Lot or Garage,10800-10899,FONDREN,RD
AutoTheft,"Road, Street, or Sidewalk",800-899,FRANCIS ST,ST
