Offense Type,Premise,BlockRange,StreetName,Type
Aggravated Assault,"Road, Street, or Sidewalk",14000-14099,BOULDER FALLS,CT
Aggravated Assault,Residence or House,8900-8999,BRASEWOOD,BLVD
Robbery,"Road, Street, or Sidewalk",3200-3299,DOWLING ST,ST
Burglary,Apartment,5600-5699,NORTHRIDGE STREET,-
Theft,Bus Station,4500-4599,WHEELER,-
Theft,"Road, Street, or Sidewalk",2400-2499,TIERWESTER,-
Robbery,Strip Business Center Parking Lot,3700-3799,SCOTT,ST
Aggravated Assault,"Road, Street, or Sidewalk",9800-9899,DULCIMER STREET,-
Aggravated Assault,"Vacant Single Occ Resd(House,Townhs,Dplex)",3400-3499,DELANO,-
Aggravated Assault,"Road, Street, or Sidewalk",3200-3299,BURKETT ST,ST
Theft,"Road, Street, or Sidewalk",3200-3299,HUTCHINS ST,ST
Aggravated Assault,"Hotel, Motel, Inn, Etc.",2500-2599,SAMPSON,-
Theft,"Road, Street, or Sidewalk",3400-3499,ALABAMA ST,ST
Theft,"Road, Street, or Sidewalk",3500-3599,SAMPSON,-
Aggravated Assault,Service or Gas Station,21500-21599,OLYMPIC FOREST,ST
Theft,Other Parking Lot,3600-3699,ENNIS ST,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Burglary,Residence or House,2600-2699,WINBERN,-
Theft,Residence or House,3700-3799,SAMPSON,-
Theft,"Road, Street, or Sidewalk",3400-3499,SCOTT ST,ST
Robbery,Restaurant or Cafeteria,3700-3799,SCOTT,ST
Theft,Construction Site,3900-3999,ELGIN ST,ST
Burglary,Residence or House,3200-3299,MCGOWEN ST,ST
Burglary,Residence or House,2200-2299,NETTLETON,-
Burglary,Warehouse,3100-3199,EMANCIPATION AVE,-
Aggravated Assault,"Road, Street, or Sidewalk",3400-3499,ANITA ST,ST
Burglary,Residence or House,3100-3199,TUAM,-
Aggravated Assault,"Road, Street, or Sidewalk",3400-3499,TUAM,-
Rape,Apartment,3700-3799,BURKETT ST,ST
AutoTheft,"Road, Street, or Sidewalk",3200-3299,DELANO,-
Aggravated Assault,Convenience Store Parking Lot,3300-3399,SAMPSON,-
Theft,"Road, Street, or Sidewalk",2600-2699,CANFIELD ST,ST
Robbery,"Road, Street, or Sidewalk",2100-2199,CLEBURNE,ST
Theft,"Church, Synagogue, or Temple",2700-2799,EMANCIPATION AVE,-
Burglary,Residence or House,2500-2599,ALABAMA ST,ST
AutoTheft,Service or Gas Station,2000-2099,DOWLING ST,ST
Murder,"Road, Street, or Sidewalk",7900-7999,COMAL,ST
Burglary,Residence or House,3700-3799,ENNIS,-
Theft,Service or Gas Station,3500-3599,ELGIN ST,ST
Theft,Residence or House,2300-2399,FRANCIS ST,ST
Burglary,Construction Site,9600-9699,EDGEWORTH,ST
Aggravated Assault,Residence or House,2600-2699,ALABAMA ST,ST
Theft,Apartment,3700-3799,BURKETT ST,ST
Theft,"Road, Street, or Sidewalk",9700-9799,MESA,DR
Burglary,Convenience Store,3200-3299,MCGOWEN,ST
Theft,Bar or Night Club,2300-2399,PIERCE ST,ST
Aggravated Assault,Miscellaneous Business (Non-Specific),3200-3299,DREW ST,ST
Aggravated Assault,Residence or House,3000-3099,FRANCIS,ST
Aggravated Assault,Residence or House,3300-3399,ANITA,-
Theft,Private School,3300-3399,ELGIN ST,ST
Robbery,Bus Stop,3000-3099,SCOTT ST,ST
Robbery,"Road, Street, or Sidewalk",3600-3699,DENNIS ST,ST
Aggravated Assault,Residence or House,2600-2699,DREW ST,ST
Burglary,"Church, Synagogue, or Temple",2400-2499,HOLMAN,-
Theft,Other Parking Lot,3700-3799,TIERWESTER,-
Burglary,Residence or House,2400-2499,WENTWORTH ST,ST
Theft,"Hotel, Motel, Inn, Etc.",10300-10399,CULLEN,-
Theft,Apartment Parking Lot,2400-2499,SOUTHMORE BLVD,BLVD
Theft,Apartment,5100-5199,CALHOUN,-
Theft,Apartment Parking Lot,3600-3699,SOUTHMORE BLVD,BLVD
AutoTheft,Hotel or Motel Parking Lot,3800-3899,CANFIELD ST,ST
Theft,"Road, Street, or Sidewalk",3500-3599,DIXIE DR,-
Robbery,Residence or House,500-599,HIGHLANDS,DR
Theft,Residence or House,4400-4499,S MACGREGOR WAY,-
Theft,"Other, Unknown, or Not Listed",5900-5999,SCOTTCREST,ST
AutoTheft,Convenience Store,3300-3399,ANITA,-
Theft,Apartment Parking Lot,6400-6499,DEL RIO ST,ST
Theft,Residence or House,2400-2499,RUTH,-
Theft,Residence or House,3000-3099,OAKDALE,-
Burglary,Residence or House,2500-2599,WICHITA,ST
Burglary,Residence or House,4300-4399,MACGREGOR WAY,-
Theft,Hospital,3600-3699,N. MACGREGOR WAY,-
Aggravated Assault,Bus Stop,2500-2599,BLODGETT ST,ST
Theft,Apartment,4400-4499,N MACGREGOR WAY,-
AutoTheft,"Road, Street, or Sidewalk",2500-2599,WHEELER ST,ST
Burglary,Residence or House,4300-4399,CHARLESTON,-
Aggravated Assault,"Vacant Other Residential (Apartment,Dorms)",6100-6199,LA SALETTE ST,ST
AutoTheft,"Road, Street, or Sidewalk",5800-5899,SCOTT ST,ST
Aggravated Assault,Residence or House,5900-5999,ARDMORE,-
Robbery,"Road, Street, or Sidewalk",6600-6699,BOWLING GREEN ST,ST
Theft,Apartment,3500-3599,DIXIE DR,-
Aggravated Assault,Convenience Store,3300-3399,DIXIE DR,-
Theft,Residence or House,3300-3399,ROSEDALE,ST
Burglary,Residence or House,2700-2799,RUTH,-
Aggravated Assault,"Road, Street, or Sidewalk",700-799,JOE WILSON,RD
Theft,Apartment Parking Lot,3500-3599,DIXIE DR,-
Theft,"Road, Street, or Sidewalk",3400-3499,TAMPA STREET,-
Theft,"Road, Street, or Sidewalk",3300-3399,KELTON,-
Theft,"Road, Street, or Sidewalk",3300-3399,KILGORE,ST
Theft,"Road, Street, or Sidewalk",2400-2499,ROSEDALE,-
AutoTheft,"Road, Street, or Sidewalk",2200-2299,BLODGETT ST,ST
Theft,Car Wash,4600-4699,ROSENEATH,-
Robbery,Apartment Parking Lot,5500-5599,SAMPSON,-
Theft,"Road, Street, or Sidewalk",2900-2999,ROSEWOOD,-
Theft,"Road, Street, or Sidewalk",6000-6099,LISA,LN
Robbery,"Road, Street, or Sidewalk",23400-23499,FERNHURST,ST
Theft,Residence or House,4800-4899,ROCKWOOD DR,-
Theft,Apartment,4400-4499,N MACGREGOR WAY,-
Theft,Residence or House,4700-4799,EMANCIPATION AVE,-
Burglary,Residence or House,5000-5099,KINGSLAND,CT
Robbery,Apartment,4400-4499,S MACGREGOR WAY,-
Robbery,Bar or Night Club Parking Lot,3300-3399,DIXIE DR,-
Theft,"Multi-Plex Home (Duplex,Triplex Etc.)",4300-4399,FACULTY,LN
Robbery,Convenience Store,3900-3999,OLD SPANISH,TRL
Theft,"Other, Unknown, or Not Listed",5900-5999,SCOTT ST,ST
Theft,Convenience Store Parking Lot,3800-3899,OLD SPANISH,TRL
Robbery,Residence or House,2400-2499,WICHITA ST,ST
Burglary,Apartment,7400-7499,TELICO JUNCTION LANE,-
Burglary,Service or Gas Station,3900-3999,SCOTT,ST
Robbery,"Road, Street, or Sidewalk",4500-4599,ROCKWOOD DR,-
Burglary,Bar or Night Club,2500-2599,N. MCGREGOR WY,-
Theft,Apartment Parking Lot,3200-3299,N MACGREGOR WAY,-
Theft,Bar or Night Club,3300-3399,RALEIGH,-
Theft,"Road, Street, or Sidewalk",3100-3199,ROSEDALE,-
AutoTheft,"Road, Street, or Sidewalk",1200-1299,TRAVIS,ST
Aggravated Assault,"Road, Street, or Sidewalk",13200-13299,DONEGAL WAY B,-
Theft,Apartment Parking Lot,9400-9499,SAPPHIRE CREEK LANE,-
Theft,Driveway,2600-2699,OAKDALE,-
Robbery,"Parks and Recreation, Zoo, Swimming Pool",5200-5299,CALHOUN RD,RD
Burglary,Residence or House,2900-2999,RUTH,-
Robbery,Service or Gas Station,3900-3999,OLD SPANISH TRL,-
Theft,Apartment Parking Lot,2500-2599,SOUTHMORE BLVD,BLVD
Theft,Residence or House,3300-3399,PARKWOOD DR,-
Theft,Residence or House,UNK,HERMANN MUSEUM CIRCLE DRIVE,-
Burglary,Vacant Building (Commercial),2800-2899,BLODGETT ST,ST
Theft,"Other, Unknown, or Not Listed",4000-4099,GRIGGS RD,RD
Theft,Apartment Parking Lot,5500-5599,SAMPSON,-
