Offense Type,Premise,BlockRange,StreetName,Type
Rape,"Field, Woods, Forest, Park",3800-3899,SCOTT ST,ST
Theft,Commercial Parking Lot or Garage,100-199,BLUE HOLLY,DR
Theft,Commercial Parking Lot or Garage,4400-4499,S MACGREGOR WAY,-
AutoTheft,"Road, Street, or Sidewalk",6500-6599,PEERLESS,-
Theft,Apartment Rental Office,5500-5599,SAMPSON,-
Robbery,Construction Site,3500-3599,CHARLESTON,-
Theft,Residence or House,6400-6499,DEL RIO ST,ST
Theft,"Road, Street, or Sidewalk",6400-6499,DEL RIO ST,ST
Theft,"Road, Street, or Sidewalk",UNK,RIESNER,-
Aggravated Assault,Apartment,3800-3899,CANFIELD ST,ST
Theft,"Road, Street, or Sidewalk",16400-16499,JADESTONE TERRACE LN.,-
Burglary,Apartment,8900-8999,GLENCREST APT 7112,-
Robbery,Convenience Store Parking Lot,2600-2699,GONZALEZ CIRCLE,-
Theft,Hotel or Motel Parking Lot,4300-4399,OLD SPANISH TRL,-
Theft,Other Parking Lot,4000-4099,GRIGGS,RD
Theft,Apartment Parking Lot,3600-3699,SOUTHMORE BLVD,BLVD
Burglary,Residence or House,3700-3799,WHEELER ST,ST
Theft,Miscellaneous Business (Non-Specific),2300-2399,WHEELER ST,ST
Theft,Park and Ride Terminal,5200-5299,CALHOUN RD,RD
Theft,"Church, Synagogue, or Temple Parking Lot",3800-3899,WHEELER ST,ST
Theft,"Church, Synagogue, or Temple Parking Lot",3800-3899,ATTUCKS ST,ST
Theft,Convenience Store,4700-4799,SCOTT ST,ST
Robbery,"Road, Street, or Sidewalk",5800-5899,GULFTON ST 2916,-
Theft,Other Parking Lot,5800-5899,SCOTT ST,ST
Aggravated Assault,"Laundry, Dry Cleaners, Washaterias",2200-2299,WENTWORTH,-
Aggravated Assault,"Road, Street, or Sidewalk",4000-4099,GRIGGS RD,RD
Rape,"Road, Street, or Sidewalk",5100-5199,LAVENDER,-
Aggravated Assault,Service or Gas Station,4200-4299,MCKINLEY,-
