Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Road, Street, or Sidewalk",5500-5599,CAROLINE,ST
Auto Theft,"Road, Street, or Sidewalk",5000-5099,CHENEVERT,-
Auto Theft,Commercial Parking Lot or Garage,UNK,AUSTIN,ST
Theft,"Libraries, Museums",UNK,BINZ,ST
Auto Theft,"Road, Street, or Sidewalk",4900-4999,JACKSON,ST
Aggravated Assault,Highway or Freeway,6800-6899,SH 288,HWY
Theft,Hospital,6700-6799,BERTNER,AVE
Auto Theft,Other Parking Lot,1300-1399,BINZ,ST
Auto Theft,"Road, Street, or Sidewalk",1700-1799,WICHITA,ST
Theft,Hospital,1300-1399,HERMANN,DR
Auto Theft,Commercial Parking Lot or Garage,1300-1399,BINZ,ST
Theft,Apartment Parking Lot,UNK,HERMANN PARK,CT
Theft,Apartment Parking Lot,UNK,HERMANN PARK,CT
Theft,Garage or Carport,UNK,HERMANN PARK,CT
Theft,Apartment Parking Lot,7300-7399,ARDMORE,ST
Theft,"Road, Street, or Sidewalk",1800-1899,ROSEDALE,-
Theft,Apartment Parking Lot,5500-5599,HERMANN PARK,DR
Theft,Hospital,1500-1599,TAUB,LP
Burglary,Residence or House,1900-1999,ROSEWOOD,-
Theft,Garage or Carport,5700-5799,ALMEDA,RD
Theft,Residence or House,5700-5799,ALMEDA,RD
Theft,Apartment Parking Lot,5700-5799,ALMEDA,RD
Theft,"Road, Street, or Sidewalk",6600-6699,FANNIN,ST
Theft,Hospital,6400-6499,FANNIN,ST
Theft,Restaurant or Cafeteria,6600-6699,FANNIN,ST
Theft,Apartment,7300-7399,ARDMORE,ST
Theft,"Libraries, Museums",5500-5599,HERMANN PARK,DR
Theft,Apartment Parking Lot,7000-7099,ALMEDA,RD
Theft,,2300-2399,MACGREGOR,WAY
Robbery,"Road, Street, or Sidewalk",5300-5399,ALMEDA,RD
Theft,Hospital,6500-6599,FANNIN,ST
Theft,"Hotel, Motel, Inn, Etc.",6800-6899,MAIN,ST
Theft,"Road, Street, or Sidewalk",4800-4899,CAROLINE,ST
Aggravated Assault,"Road, Street, or Sidewalk",5200-5299,ALMEDA,RD
Theft,Vacant School or College/University,UNK,BAYLOR PLAZA,-
Theft,Garage or Carport,5700-5799,ALMEDA,RD
Theft,"Road, Street, or Sidewalk",UNK,BAYLOR PLAZA,-
Theft,University or College,UNK,BAYLOR PLAZA,-
Burglary,Residence or House,5300-5399,CHENEVERT,-
