Offense Type,Premise,BlockRange,StreetName,Type
Robbery,Miscellaneous Business (Non-Specific),5900-5999,SCOTT,ST
Auto Theft,Apartment Parking Lot,3700-3799,SOUTHMORE,BLVD
Theft,"Other, Unknown, or Not Listed",3600-3699,BLODGETT,ST
Burglary,Residence or House,3300-3399,ARBOR,ST
Auto Theft,Driveway,3200-3299,OZARK,-
Aggravated Assault,Liquor Store,3100-3199,SOUTHMORE,BLVD
Burglary,"Vacant Other Residential (Apartment,Dorms)",3500-3599,DIXIE,DR
Theft,Convenience Store,2300-2399,SOUTHMORE,BLVD
Theft,Apartment,3500-3599,DIXIE,DR
Auto Theft,"Parks and Recreation, Zoo, Swimming Pool",5200-5299,CALHOUN,RD
Auto Theft,Service or Gas Station,3700-3799,BLODGETT,ST
Theft,Apartment Parking Lot,3500-3599,DIXIE,DR
Aggravated Assault,"Road, Street, or Sidewalk",5500-5599,SCOTT,ST
Theft,"Road, Street, or Sidewalk",5100-5199,SAMPSON,-
Theft,"Multi-Plex Home (Duplex,Triplex Etc.)",3300-3399,KILGORE,ST
Robbery,Apartment,2200-2299,BARBEE,ST
Theft,Apartment Parking Lot,3600-3699,MACGREGOR,WAY
Aggravated Assault,Restaurant or Cafeteria,3600-3699,OLD SPANISH,TRL
Theft,Driveway,2200-2299,WENTWORTH,ST
Aggravated Assault,Residence or House,6200-6299,TIERWESTER,-
Burglary,Restaurant or Cafeteria,4500-4599,OLD SPANISH,TRL
Burglary,Construction Site,4100-4199,GRIGGS,RD
Burglary,Apartment,4000-4099,GRIGGS,RD
Theft,"Church, Synagogue, or Temple",3700-3799,MACGREGOR,WAY
Aggravated Assault,Restaurant or Cafeteria Parking Lot,3600-3699,OLD SPANISH,TRL
Theft,Apartment Parking Lot,3600-3699,SOUTHMORE,BLVD
Theft,Restaurant or Cafeteria Parking Lot,4600-4699,SCOTT,ST
Aggravated Assault,Convenience Store Parking Lot,3200-3299,MACGREGOR,WAY
Aggravated Assault,"Road, Street, or Sidewalk",6200-6299,TIERWESTER,-
Theft,Residence or House,2500-2599,PROSPECT,-
Theft,"Road, Street, or Sidewalk",2300-2399,BLODGETT,ST
Aggravated Assault,"Vacant Single Occ Resd(House,Townhs,Dplex)",3300-3399,OZARK,-
Theft,Apartment Parking Lot,4400-4499,MACGREGOR,WAY
Theft,Other Parking Lot,3800-3899,OLD SPANISH,TRL
Burglary,Apartment,5500-5599,SAMPSON,-
Theft,Driveway,3400-3499,WICHITA,ST
Theft,Service or Gas Station,3700-3799,BLODGETT,ST
Theft,Convenience Store,4700-4799,SCOTT,ST
Theft,"Daycare, Child Care, or Kindergarten",3100-3199,BLODGETT,ST
Theft,Apartment Rental Office,3700-3799,SOUTHMORE,BLVD
Theft,Commercial Parking Lot or Garage,3700-3799,SOUTHMORE,BLVD
Robbery,Restaurant or Cafeteria,2300-2399,SOUTHMORE,BLVD
Theft,Apartment Parking Lot,5500-5599,SAMPSON,-
Theft,Bar or Night Club,4400-4499,DOWLING,ST
Theft,Residence or House,3500-3599,RUTH,-
Rape,Residence or House,3800-3899,JULIUS,LN
Theft,Commercial Parking Lot or Garage,5900-5999,SCOTT,ST
Burglary,"Parks and Recreation, Zoo, Swimming Pool",6100-6199,HERMANN PARK,DR
Theft,Hospital,6600-6699,FANNIN,ST
Theft,Service or Gas Station,3200-3299,HOLCOMBE,BLVD
Theft,Hospital,6500-6599,FANNIN,ST
Theft,Apartment Parking Lot,2800-2899,OLD SPANISH,TRL
Theft,Hospital,6500-6599,FANNIN,ST
Theft,Apartment Parking Lot,7300-7399,ARDMORE,ST
Theft,Strip Business Center Parking Lot,3100-3199,TELGE,-
Theft,Garage or Carport,7300-7399,ARDMORE,ST
Theft,Garage or Carport,2800-2899,OLD SPANISH,TRL
Theft,Hospital,6600-6699,FANNIN,ST
