Offense Type,Premise,BlockRange,StreetName,Type
Robbery,Restaurant or Cafeteria,6000-6099,WESTVIEW,DR
Aggravated Assault,Residence or House,2800-2899,DREW STREET,-
Theft,Driveway,2600-2699,ALABAMA ST,ST
Theft,"Road, Street, or Sidewalk",2400-2499,GRAY ST,ST
Theft,Driveway,2000-2099,ALABAMA ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,DENNIS ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,ANITA,ST
Aggravated Assault,"Road, Street, or Sidewalk",2900-2999,PAIGE,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,ST
Robbery,"Road, Street, or Sidewalk",3700-3799,DREYFUS,-
Theft,"Road, Street, or Sidewalk",4800-4899,CALHOUN RD,RD
Theft,Driveway,2400-2499,ALABAMA ST,ST
AutoTheft,"Road, Street, or Sidewalk",3900-3999,DELANO,-
Burglary,Residence or House,2200-2299,ALABAMA ST,ST
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",3200-3299,DREW,ST
Robbery,"Road, Street, or Sidewalk",3500-3599,GULF FWY OB,-
Rape,Residence or House,2500-2599,STUART,-
Burglary,Apartment,4500-4599,WINDY HOLLOW,-
Aggravated Assault,Convenience Store,2700-2799,SCOTT,ST
Theft,"Road, Street, or Sidewalk",2300-2399,HADLEY ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,HADLEY,ST
Burglary,Restaurant or Cafeteria Parking Lot,3700-3799,SCOTT,ST
Theft,Garage or Carport,2200-2299,ISABELLA,-
Aggravated Assault,Residence or House,13100-13199,NORTHBOROUGH,-
Robbery,Residence or House,7300-7399,WAYSIDE ST APT 502,-
Murder,"Field, Woods, Forest, Park",2800-2899,LIVE OAK,-
Burglary,Liquor Store,3700-3799,EMANCIPATION,-
AutoTheft,University or College,3600-3699,TIERWESTER,-
Aggravated Assault,Residence or House,3600-3699,HADLEY,ST
Theft,Residence or House,2300-2399,TRUXILLO,-
Robbery,"Parks and Recreation, Zoo, Swimming Pool",3100-3199,TRULLEY,-
AutoTheft,Apartment Parking Lot,2600-2699,SOUTHMORE,-
Theft,Commercial Parking Lot or Garage,4400-4499,N MACGREGOR WAY,-
Robbery,Apartment,5100-5199,EMANCIPATION AVE,-
Burglary,"Physician, Doctor, Dentist's Office",3000-3099,BLODGETT ST,ST
Theft,Apartment Parking Lot,2400-2499,SOUTHMORE BLVD,BLVD
Theft,Other Parking Lot,5200-5299,CALHOUN RD,RD
Theft,"Road, Street, or Sidewalk",10300-10399,WILCREST,ST
Theft,"Road, Street, or Sidewalk",1100-1199,TONYA LYNN DRIVE,-
Theft,Hospital,4400-4499,N MACGREGOR WAY,-
Theft,"Road, Street, or Sidewalk",6300-6399,PO BOX 534222,-
Theft,Residence or House,2900-2999,ROSEWOOD,-
Theft,"Road, Street, or Sidewalk",15100-15199,LEVENS,WAY
Theft,"Road, Street, or Sidewalk",6400-6499,DEL RIO ST,ST
Theft,Driveway,2500-2599,ARBOR ST,ST
Aggravated Assault,Bar or Night Club,3300-3399,RALEIGH,-
AutoTheft,"Road, Street, or Sidewalk",8000-8099,BOSPORUS,ST
Theft,Residence or House,3300-3399,WENTWORTH ST,ST
Theft,Bar or Night Club,3300-3399,DIXIE DR,-
Theft,"Road, Street, or Sidewalk",4000-4099,GLEN COVE DR,-
Aggravated Assault,Bar or Night Club,3300-3399,RALEIGH,-
Theft,"Road, Street, or Sidewalk",3500-3599,DIXIE DR,-
AutoTheft,Residence or House,3300-3399,SOUTHMORE BLVD,BLVD
Theft,Apartment Parking Lot,4400-4499,S MACGREGOR WAY,-
Burglary,Restaurant or Cafeteria,3600-3699,OLD SPANISH,TRL
Robbery,Other Parking Lot,8400-8499,NORTHERN,-
Theft,Driveway,2800-2899,BARBEE ST,ST
Theft,"Gym, Recreat, Club House, Indoor Pool",5200-5299,CALHOUN RD,RD
Burglary,Residence or House,2500-2599,OAKDALE,-
Aggravated Assault,"Road, Street, or Sidewalk",3800-3899,OLD SPANISH TRL,-
Theft,Restaurant or Cafeteria Parking Lot,2400-2499,OAKDALE,-
AutoTheft,Auto Repair,2200-2299,BLODGETT ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3700-3799,ODIN CT,-
Aggravated Assault,"Road, Street, or Sidewalk",2600-2699,CALUMET,ST
Aggravated Assault,"Road, Street, or Sidewalk",3600-3699,EAGLE ST,ST
Theft,"Road, Street, or Sidewalk",2400-2499,WENTWORTH ST,ST
Robbery,Light Rail Platform,4700-4799,MARTIN LUTHER KING BLVD,BLVD
Theft,"Other, Unknown, or Not Listed",3900-3999,OLD SPANISH TRL,-
Theft,"Road, Street, or Sidewalk",10600-10699,SUN RIVER FALLS,DR
Robbery,"Road, Street, or Sidewalk",15700-15799,DANFORD,RD
AutoTheft,Driveway,4200-4299,S MACGREGOR WAY,-
Theft,University or College,3800-3899,TANGLEWILDE,ST
Theft,"Road, Street, or Sidewalk",2200-2299,ARBOR ST,ST
Theft,"Road, Street, or Sidewalk",2500-2599,WHEELER ST,ST
Burglary,Apartment,3500-3599,N MACGREGOR WAY,-
AutoTheft,Commercial Parking Lot or Garage,3300-3399,DIXIE DR,-
Theft,Apartment,3700-3799,SOUTHMORE,BLVD
Burglary,Construction Site,3400-3499,BLODGETT ST,ST
Theft,"Road, Street, or Sidewalk",3500-3599,DIXIE DR,-
Burglary,Residence or House,2400-2499,ARBOR ST,ST
Aggravated Assault,Service or Gas Station,4000-4099,GRIGGS,-
Theft,Bar or Night Club,3000-3099,MCGOWEN,ST
Aggravated Assault,"Road, Street, or Sidewalk",2600-2699,PALM,-
Aggravated Assault,"Road, Street, or Sidewalk",2700-2799,2 WHEELER,-
Burglary,Garage or Carport,3200-3299,BINZ,-
Theft,Grocery Store or Supermarket Parking Lot,3300-3399,DIXIE DR,-
AutoTheft,"Road, Street, or Sidewalk",6500-6599,PEERLESS,-
AutoTheft,Service or Gas Station,3700-3799,CHARLESTON,ST
Aggravated Assault,Apartment,3000-3099,DURWOOD,-
Aggravated Assault,"Road, Street, or Sidewalk",2400-2499,SOUTHMORE BLVD,BLVD
Burglary,Residence or House,2800-2899,BLODGETT ST,ST
AutoTheft,Driveway,3400-3499,MACGREGOR WAY,-
Theft,"Church, Synagogue, or Temple",3800-3899,WHEELER ST,ST
Theft,"Road, Street, or Sidewalk",2000-2099,TRULLEY,-
Aggravated Assault,Apartment Parking Lot,2600-2699,CALUMET,ST
AutoTheft,Driveway,2600-2699,WHEELER ST,ST
Robbery,"Road, Street, or Sidewalk",2500-2599,ROSEWOOD,-
Theft,"Road, Street, or Sidewalk",3800-3899,ARBOR ST,ST
Theft,"Road, Street, or Sidewalk",2600-2699,WHEELER,ST
Theft,Apartment Parking Lot,4400-4499,S MACGREGOR WAY,-
Theft,Apartment Parking Lot,4400-4499,S MACGREGOR WAY,-
Robbery,"Road, Street, or Sidewalk",3300-3399,OLD SPANISH TRL,-
Theft,Restaurant or Cafeteria Parking Lot,2700-2799,BLODGETT ST,ST
Theft,Other Parking Lot,3000-3099,SOUTHMORE BLVD,BLVD
Theft,Driveway,2900-2999,EAGLE ST,ST
Burglary,Drug Store or Medical Supply,4400-4499,EMANCIPATION,AVE
Burglary,Barber And Beauty Shops,5900-5999,SCOTT,ST
AutoTheft,"Road, Street, or Sidewalk",3400-3499,ROSEDALE,-
Theft,"Parks and Recreation, Zoo, Swimming Pool",4400-4499,S MACGREGOR WAY,-
AutoTheft,Driveway,16600-16699,SPRING CYPRESS,RD
Theft,Garage or Carport,UNK,HERMANN PARK CT,-
Theft,Other Parking Lot,7200-7299,ALMEDA RD,RD
Theft,Other Parking Lot,7200-7299,POB 300023,-
